Trial,1,Sim Type,5,Distance Weight,0.8,Random Seed,15,Min Iterations,2500,Distance cost,0.6027643419789939,Manip Cost,0.010637822319448523,Total cost,0.48433903804708484,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06521874697972822,0.039812925843255666
Distance to Last Node,0.0,0.06,0.113,0.086,0.04,0.053,0.104,0.086,0.114,0.1
Total Cost,0.0,0.03831,0.11027,0.16526,0.19063,0.22429,0.29069,0.34581,0.41851,0.48434
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10637822319448523
Joint 0: ,-0.3,-0.455,-0.723,-0.801,-0.879,-1.085,-1.584,-1.654,-1.95,-2.026
Joint 1: ,-1.0,-0.977,-0.847,-0.543,-0.239,-0.261,-0.319,-0.52,-0.655,-0.916
Joint 2: ,0.2,0.27,0.545,0.863,1.181,1.354,1.828,1.892,2.195,2.154
Joint 3: ,1.7,1.796,1.687,1.561,1.436,1.44,1.539,1.425,1.388,1.169
Joint 4: ,0.2,0.261,0.415,0.382,0.349,0.253,0.544,0.67,0.861,1.047
Joint 5: ,1.2,1.059,1.145,1.259,1.374,1.16,0.869,0.808,0.507,0.289
Joint 6: ,0.0,0.62,0.942,0.0,-0.942,-1.704,-2.652,-2.839,-3.162,-3.278
Trial,2,Sim Type,5,Distance Weight,0.8,Random Seed,30,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,3,Sim Type,5,Distance Weight,0.8,Random Seed,45,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,4,Sim Type,5,Distance Weight,0.8,Random Seed,60,Min Iterations,2500,Distance cost,0.6142744853536202,Manip Cost,0.0770034672130463,Total cost,0.5068202817255054,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Closest Taxel Manip,1.0,1.0,1.0,0.0444608559487009,1.0,0.04896260941326902,0.06425937616525002,0.06815618910846016,0.07182655031124374,0.039568714685464676
Distance to Last Node,0.0,0.09,0.097,0.119,0.116,0.083,0.106,0.073,0.061,0.025
Total Cost,0.0,0.05755,0.11941,0.19519,0.27421,0.32645,0.39575,0.44567,0.48782,0.50682
Local Manip Cost,0.0,0.0,0.0,0.0,0.1182236007711336,0.0,0.08032880184165889,0.1627424732067875,0.1975291821437119,0.21121061416717107
Joint 0: ,-0.3,-0.743,-1.235,-1.202,-1.363,-1.475,-1.737,-1.882,-2.039,-2.196
Joint 1: ,-1.0,-0.942,-1.27,-1.369,-0.906,-0.848,-0.958,-0.898,-0.861,-0.824
Joint 2: ,0.2,0.472,0.691,1.063,1.061,1.406,1.718,1.985,2.267,2.548
Joint 3: ,1.7,1.583,2.141,2.039,1.726,1.599,1.362,1.267,1.167,1.067
Joint 4: ,0.2,1.011,1.467,1.074,0.984,1.606,2.354,1.608,0.871,0.134
Joint 5: ,1.2,0.733,-0.159,-0.158,0.74,0.202,-0.194,0.007,0.197,0.386
Joint 6: ,0.0,0.941,1.774,1.852,2.371,2.015,1.748,2.306,2.872,3.437
Trial,5,Sim Type,5,Distance Weight,0.8,Random Seed,75,Min Iterations,2500,Distance cost,0.6511961117315761,Manip Cost,0.040272115491817896,Total cost,0.5290113124836244,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05529182302219546,0.062322281817173884,0.07052198814458628,0.0
