Trial,1,Sim Type,5,Distance Weight,0.95,Random Seed,15,Min Iterations,2500,Distance cost,0.407079990472034,Manip Cost,0.18377124832512218,Total cost,0.39046647084929353,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,4.113987571e-11,0.0
Distance to Last Node,0.0,0.088,0.107,0.05,0.05,0.094
Total Cost,0.0,0.08781,0.19432,0.24505,0.29561,0.39047
Local Manip Cost,0.0,0.0,0.0,0.3180402781268214,0.43625018990071696,0.3483370219231947
Joint 0: ,-0.3,-0.011,0.102,0.132,0.162,0.306
Joint 1: ,0.3,0.353,0.55,0.652,0.754,0.884
Joint 2: ,0.4,0.26,0.295,0.339,0.383,0.282
Joint 3: ,1.2,1.143,1.043,0.993,0.943,0.879
Joint 4: ,0.5,0.496,0.616,0.646,0.675,0.724
Joint 5: ,1.2,1.091,1.022,1.0,0.978,0.89
Joint 6: ,0.0,0.408,0.291,-0.585,-1.461,-1.492
Trial,2,Sim Type,5,Distance Weight,0.95,Random Seed,30,Min Iterations,2500,Distance cost,0.39861574288349916,Manip Cost,0.12082227513936528,Total cost,0.38109303878740186,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.098,0.089,0.123,0.071
Total Cost,0.0,0.09764,0.18561,0.30893,0.38109
Local Manip Cost,0.0,0.0,0.0,0.2885819599099287,0.31552941578689775
Joint 0: ,-0.3,0.029,0.122,0.169,0.274
Joint 1: ,0.3,0.367,0.513,0.742,0.877
Joint 2: ,0.4,0.216,0.266,0.428,0.379
Joint 3: ,1.2,1.217,1.145,1.06,0.919
Joint 4: ,0.5,0.434,0.422,0.627,0.705
Joint 5: ,1.2,1.103,0.963,0.889,0.76
Joint 6: ,0.0,-0.243,-1.382,-1.147,-1.116
Trial,3,Sim Type,5,Distance Weight,0.95,Random Seed,45,Min Iterations,2500,Distance cost,0.39768305617525873,Manip Cost,0.1761215261545142,Total cost,0.3813009307054647,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,2.132663797e-11,0.0,0.0,0.0
Distance to Last Node,0.0,0.065,0.116,0.115,0.085
Total Cost,0.0,0.06451,0.18016,0.29608,0.3813
Local Manip Cost,0.0,0.0,0.27639703283586603,0.2895467696707467,0.3146638282659581
Joint 0: ,-0.3,-0.21,-0.034,0.097,0.229
Joint 1: ,0.3,0.41,0.535,0.727,0.873
Joint 2: ,0.4,0.388,0.403,0.45,0.442
Joint 3: ,1.2,1.199,1.215,1.144,1.012
Joint 4: ,0.5,0.563,0.672,0.796,0.84
Joint 5: ,1.2,1.157,0.825,0.732,0.648
Joint 6: ,0.0,0.188,0.942,1.194,1.21
Trial,4,Sim Type,5,Distance Weight,0.95,Random Seed,60,Min Iterations,2500,Distance cost,0.555677805107335,Manip Cost,0.1865302335930689,Total cost,0.533076450391426,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,1.0,0.07681103814520686,4.237952234e-11,0.07726059638472234
Distance to Last Node,0.0,0.115,0.121,0.123,0.05,0.123
Total Cost,0.0,0.11425,0.23573,0.35785,0.4084,0.53308
Local Manip Cost,0.0,0.0,0.41412915170737774,0.0,0.2591954643350923,0.44585678551594327
Joint 0: ,-0.3,0.297,0.118,0.318,0.339,0.32
Joint 1: ,0.3,0.74,0.208,0.627,0.869,0.823
Joint 2: ,0.4,0.79,0.298,0.201,0.265,0.257
Joint 3: ,1.2,0.879,1.413,1.246,0.963,1.109
Joint 4: ,0.5,1.319,0.675,1.01,1.261,1.229
Joint 5: ,1.2,0.611,1.166,0.745,0.48,0.536
Joint 6: ,0.0,1.093,1.706,2.381,2.613,2.645
Trial,5,Sim Type,5,Distance Weight,0.95,Random Seed,75,Min Iterations,2500,Distance cost,0.42478487217810745,Manip Cost,0.17568580070586867,Total cost,0.4072770620890196,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0
