Trial,1,Sim Type,5,Distance Weight,0.2,Random Seed,15,Min Iterations,2500,Distance cost,8.441128692790759,Manip Cost,1.1127876671351449,Total cost,2.578455872266268,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06940297720344422,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.064,0.066,0.051,0.051
Total Cost,0.0,0.13333,0.26667,0.4,0.53333,0.66667,0.8,0.93333,1.06667,1.39245,1.79887,2.18219,2.57846
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19280713671592,0.28685171871132725,0.30919029964381317,0.3239385120640845
Joint 0: ,-0.2,-0.158,-0.088,-0.059,0.007,0.039,0.056,0.045,0.095,0.171,0.267,0.249,0.274
Joint 1: ,0.4,0.447,0.476,0.465,0.478,0.46,0.436,0.461,0.524,0.654,0.769,0.825,0.895
Joint 2: ,0.4,0.414,0.446,0.462,0.496,0.518,0.532,0.5,0.481,0.444,0.414,0.382,0.326
Joint 3: ,0.9,0.937,0.925,1.003,0.997,1.072,1.163,1.226,1.262,1.15,0.988,0.98,0.953
Joint 4: ,0.9,0.895,0.942,0.895,0.911,0.892,0.831,0.792,0.78,0.842,0.972,0.972,0.978
Joint 5: ,0.9,0.907,0.891,0.947,0.938,0.985,1.048,1.105,1.06,0.956,0.828,0.825,0.79
Joint 6: ,0.0,-0.0,0.047,0.094,0.11,0.11,0.079,0.078,0.046,-0.032,0.503,0.565,0.628
Trial,2,Sim Type,5,Distance Weight,0.2,Random Seed,30,Min Iterations,2500,Distance cost,10.162297344995125,Manip Cost,1.6142686071333634,Total cost,3.323874354705716,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,0.07126689458857748,0.07228551641797935,1e-20,4.115238101e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.073,0.05,0.05,0.034,0.055
Total Cost,0.0,0.13333,0.26667,0.4,0.53333,0.66667,0.8,0.93333,1.06667,1.2,1.53218,1.92754,2.27263,2.60445,2.92533,3.32387
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24855334365460469,0.25111774441880574,0.26469257245733363,0.24810935964073058,0.2869236526660185,0.3148719342958703
Joint 0: ,-0.2,-0.143,-0.181,-0.145,-0.071,0.002,0.073,0.135,0.171,0.176,0.183,0.241,0.171,0.179,0.209,0.217
Joint 1: ,0.4,0.405,0.312,0.3,0.344,0.393,0.414,0.433,0.446,0.517,0.58,0.727,0.699,0.78,0.814,0.912
Joint 2: ,0.4,0.432,0.472,0.487,0.527,0.558,0.594,0.623,0.637,0.615,0.574,0.553,0.524,0.498,0.442,0.456
Joint 3: ,0.9,0.932,1.012,1.09,1.097,1.112,1.091,1.126,1.189,1.202,1.188,1.121,1.168,1.117,1.112,0.984
Joint 4: ,0.9,0.9,0.868,0.821,0.868,0.884,0.931,0.934,0.896,0.888,0.884,0.948,0.901,0.909,0.893,0.956
Joint 5: ,0.9,0.917,0.996,1.054,1.017,1.004,0.981,0.988,1.051,1.031,0.976,0.879,0.911,0.861,0.834,0.722
Joint 6: ,0.0,0.0,0.063,0.047,0.0,-0.016,-0.063,-0.094,-0.126,-0.141,-0.173,-0.251,-0.267,-0.298,-0.471,-0.408
Trial,3,Sim Type,5,Distance Weight,0.2,Random Seed,45,Min Iterations,2500,Distance cost,8.114673079513963,Manip Cost,1.2451383636498554,Total cost,2.619045306822677,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.053,0.056,0.059
