File,Mean Avg Manip,Std Avg Manip,Mean Total Distance,Std Total Distance,Mean Avg Manip Cost,Std Avg Manip Cost,Mean % High Manip Cost,Std % High Manip Cost
cost_comparison_reach_weight1_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestFalse_Min Iterations2500.csv,0.337278131405524,0.1491408195872954,2.5981600000000005,0.40082072601101854,0.17777591721954866,0.0511972543362141,30.0,0.0
cost_comparison_reach_weight0.5_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestFalse_Min Iterations2500.csv,0.609645928966515,0.048200159031371904,3.4771199999999998,0.853233769608306,0.2334919271473503,0.09671234125104493,27.27272727272727,0.0
cost_comparison_reach_weight0.7_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestTrue_Min Iterations2500.csv,0.44332042500115937,0.13623352515284037,3.166625,1.0186882828953776,0.14252093041203515,0.045165545318243135,44.44444444444444,0.0
cost_comparison_reach_weight0.9_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestTrue_Min Iterations2500.csv,0.44270201424744915,0.13793599031441933,3.1836250000000006,1.0024295824188019,0.4510887819292868,0.1504613885153747,66.66666666666666,0.0
cost_comparison_reach_weight0.4_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestTrue_Min Iterations2500.csv,0.5251711140820992,0.12576156779179382,3.623708333333333,0.9128750133126415,0.3451779592350009,0.14366613537607775,27.27272727272727,0.0
cost_comparison_reach_weight0.5_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestFalse_Min Iterations2500.csv,0.41921809482492123,0.13778812221807932,2.608434782608696,0.33231831598332967,0.14951421574134524,0.04473005286733247,0.0,0.0
cost_comparison_reach_weight0.6_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestTrue_Min Iterations2500.csv,0.5153888955377108,0.12245020801324902,3.528,0.8783958390156456,0.3557742064683669,0.14911171964221234,27.27272727272727,0.0
cost_comparison_reach_weight0.8_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestTrue_Min Iterations2500.csv,0.48392676172111554,0.13351094120350462,3.2680416666666665,0.9616265941607596,0.411547536138041,0.14447269619844394,27.27272727272727,0.0
cost_comparison_reach_weight0.7_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestFalse_Min Iterations2500.csv,0.3942248572745325,0.12707833357512002,2.632304347826087,0.35423272070191236,0.16228634718600835,0.04402326132903218,18.181818181818183,0.0
cost_comparison_reach_weight0.8_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestFalse_Min Iterations2500.csv,0.3346728151144035,0.14627307210318063,2.5615217391304346,0.3869645382657645,0.18204459375519988,0.05085736917698984,30.0,0.0
cost_comparison_reach_weight0.7_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestTrue_Min Iterations2500.csv,0.49139501820690884,0.13623556660274214,3.310333333333334,0.9713955882589178,0.39615168943088,0.15026249460375377,27.27272727272727,0.0
cost_comparison_reach_weight1_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestTrue_Min Iterations2500.csv,0.40674604345990256,0.1619583228405037,3.173083333333333,0.9898861852365768,0.15830792402530144,0.06050499150863857,44.44444444444444,0.0
cost_comparison_reach_weight0.3_contactsamplechance0.0_objreduction0.02_old_costFalse_old_closestTrue_Min Iterations2500.csv,0.48974455503979125,0.13622616225713247,3.2905833333333336,0.9782181895614541,0.12407101520657508,0.04141950984188743,0.0,0.0
cost_comparison_reach_weight0.8_contactsamplechance0.0_objreduction0.02_old_costTrue_old_closestFalse_Min Iterations2500.csv,0.46788794275961076,0.1627090536291296,2.7596799999999995,0.5071305725353185,0.42843167180437197,0.17143476107962027,33.33333333333333,0.0
